Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Status
the-ronin,THE RONIN,<p>The torii marks the threshold. The ronin chose to walk through it alone.</p>,Hollow Ronin,,Shirts,"drop-001, shirt",TRUE,Size,S,,,,,,,,HR-RONIN-BLK-S,200,,,continue,manual,38.00,,TRUE,TRUE,,https://hollowronin.com/mockups/tee-crow-ronin-bloodmoon-back-black.png,1,THE RONIN — back design,FALSE,,,,,,,,,,,,,,,g,,,,,,,,,active
the-ronin,,,,,,,,Size,M,,,,,,,,HR-RONIN-BLK-M,200,,,continue,manual,38.00,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,g,,,,,,,,,
the-ronin,,,,,,,,Size,L,,,,,,,,HR-RONIN-BLK-L,200,,,continue,manual,38.00,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,g,,,,,,,,,
the-ronin,,,,,,,,Size,XL,,,,,,,,HR-RONIN-BLK-XL,200,,,continue,manual,38.00,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,g,,,,,,,,,
the-ronin-white,THE RONIN (White),<p>The torii marks the threshold. The ronin chose to walk through it alone.</p>,Hollow Ronin,,Shirts,"drop-001, shirt",TRUE,Size,S,,,,,,,,HR-RONIN-WHT-S,200,,,continue,manual,38.00,,TRUE,TRUE,,https://hollowronin.com/mockups/tee-crow-ronin-bloodmoon-back-white.png,1,THE RONIN (White) — back design,FALSE,,,,,,,,,,,,,,,g,,,,,,,,,active
the-ronin-white,,,,,,,,Size,M,,,,,,,,HR-RONIN-WHT-M,200,,,continue,manual,38.00,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,g,,,,,,,,,
the-ronin-white,,,,,,,,Size,L,,,,,,,,HR-RONIN-WHT-L,200,,,continue,manual,38.00,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,g,,,,,,,,,
the-ronin-white,,,,,,,,Size,XL,,,,,,,,HR-RONIN-WHT-XL,200,,,continue,manual,38.00,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,g,,,,,,,,,
the-hollow-warrior,THE HOLLOW WARRIOR,<p>What walks past death is no longer a man — only the promise he refused to break.</p>,Hollow Ronin,,Shirts,"drop-001, shirt",TRUE,Size,S,,,,,,,,HR-HOLLOW-BLK-S,200,,,continue,manual,38.00,,TRUE,TRUE,,https://hollowronin.com/mockups/tee-skeleton-ronin-redsun-back-black.png,1,THE HOLLOW WARRIOR — back design,FALSE,,,,,,,,,,,,,,,g,,,,,,,,,active
the-hollow-warrior,,,,,,,,Size,M,,,,,,,,HR-HOLLOW-BLK-M,200,,,continue,manual,38.00,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,g,,,,,,,,,
the-hollow-warrior,,,,,,,,Size,L,,,,,,,,HR-HOLLOW-BLK-L,200,,,continue,manual,38.00,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,g,,,,,,,,,
the-hollow-warrior,,,,,,,,Size,XL,,,,,,,,HR-HOLLOW-BLK-XL,200,,,continue,manual,38.00,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,g,,,,,,,,,
mask-of-wrath,MASK OF WRATH,"<p>Hannya born of fury — horns of grief, eyes that never close.</p>",Hollow Ronin,,Shirts,"drop-001, shirt",TRUE,Size,S,,,,,,,,HR-WRATH-BLK-S,200,,,continue,manual,38.00,,TRUE,TRUE,,https://hollowronin.com/mockups/tee-cyber-oni-clash-back-black.png,1,MASK OF WRATH — back design,FALSE,,,,,,,,,,,,,,,g,,,,,,,,,active
