Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Alt Text,Status
the-ronin,THE RONIN,<p>The torii marks the threshold. The ronin chose to walk through it alone.</p>,Hollow Ronin,Shirts,"drop-001,shirt",TRUE,Size,S,HR-RONIN-BLK-S,,continue,manual,38.00,TRUE,TRUE,https://hollowronin.com/mockups/tee-crow-ronin-bloodmoon-back-black.png,THE RONIN — back design,active
the-ronin,,,,,,,Size,M,HR-RONIN-BLK-M,,continue,manual,38.00,TRUE,TRUE,,,
the-ronin,,,,,,,Size,L,HR-RONIN-BLK-L,,continue,manual,38.00,TRUE,TRUE,,,
the-ronin,,,,,,,Size,XL,HR-RONIN-BLK-XL,,continue,manual,38.00,TRUE,TRUE,,,
the-ronin-white,THE RONIN (White),<p>The torii marks the threshold. The ronin chose to walk through it alone.</p>,Hollow Ronin,Shirts,"drop-001,shirt",TRUE,Size,S,HR-RONIN-WHT-S,,continue,manual,38.00,TRUE,TRUE,https://hollowronin.com/mockups/tee-crow-ronin-bloodmoon-back-white.png,THE RONIN (White) — back design,active
the-ronin-white,,,,,,,Size,M,HR-RONIN-WHT-M,,continue,manual,38.00,TRUE,TRUE,,,
the-ronin-white,,,,,,,Size,L,HR-RONIN-WHT-L,,continue,manual,38.00,TRUE,TRUE,,,
the-ronin-white,,,,,,,Size,XL,HR-RONIN-WHT-XL,,continue,manual,38.00,TRUE,TRUE,,,
the-hollow-warrior,THE HOLLOW WARRIOR,<p>What walks past death is no longer a man — only the promise he refused to break.</p>,Hollow Ronin,Shirts,"drop-001,shirt",TRUE,Size,S,HR-HOLLOW-BLK-S,,continue,manual,38.00,TRUE,TRUE,https://hollowronin.com/mockups/tee-skeleton-ronin-redsun-back-black.png,THE HOLLOW WARRIOR — back design,active
the-hollow-warrior,,,,,,,Size,M,HR-HOLLOW-BLK-M,,continue,manual,38.00,TRUE,TRUE,,,
the-hollow-warrior,,,,,,,Size,L,HR-HOLLOW-BLK-L,,continue,manual,38.00,TRUE,TRUE,,,
the-hollow-warrior,,,,,,,Size,XL,HR-HOLLOW-BLK-XL,,continue,manual,38.00,TRUE,TRUE,,,
mask-of-wrath,MASK OF WRATH,<p>Hannya born of fury — horns of grief, eyes that never close.</p>,Hollow Ronin,Shirts,"drop-001,shirt",TRUE,Size,S,HR-WRATH-BLK-S,,continue,manual,38.00,TRUE,TRUE,https://hollowronin.com/mockups/tee-cyber-oni-clash-back-black.png,MASK OF WRATH — back design,active
mask-of-wrath,,,,,,,Size,M,HR-WRATH-BLK-M,,continue,manual,38.00,TRUE,TRUE,,,
mask-of-wrath,,,,,,,Size,L,HR-WRATH-BLK-L,,continue,manual,38.00,TRUE,TRUE,,,
mask-of-wrath,,,,,,,Size,XL,HR-WRATH-BLK-XL,,continue,manual,38.00,TRUE,TRUE,,,
mask-of-mourning,MASK OF MOURNING,<p>The second mask weeps in silence — the river beneath the fire.</p>,Hollow Ronin,Shirts,"drop-001,shirt",TRUE,Size,S,HR-MOURNING-BLK-S,,continue,manual,38.00,TRUE,TRUE,https://hollowronin.com/mockups/tee-oni-samurai-dark-back-black.png,MASK OF MOURNING — back design,active
mask-of-mourning,,,,,,,Size,M,HR-MOURNING-BLK-M,,continue,manual,38.00,TRUE,TRUE,,,
mask-of-mourning,,,,,,,Size,L,HR-MOURNING-BLK-L,,continue,manual,38.00,TRUE,TRUE,,,
mask-of-mourning,,,,,,,Size,XL,HR-MOURNING-BLK-XL,,continue,manual,38.00,TRUE,TRUE,,,
mask-of-reckoning,MASK OF RECKONING,<p>The third mask remembers every name carved into the dark.</p>,Hollow Ronin,Shirts,"drop-001,shirt",TRUE,Size,S,HR-RECKONING-BLK-S,,continue,manual,38.00,TRUE,TRUE,https://hollowronin.com/mockups/tee-cyber-oni-full-back-black.png,MASK OF RECKONING — back design,active
mask-of-reckoning,,,,,,,Size,M,HR-RECKONING-BLK-M,,continue,manual,38.00,TRUE,TRUE,,,
mask-of-reckoning,,,,,,,Size,L,HR-RECKONING-BLK-L,,continue,manual,38.00,TRUE,TRUE,,,
mask-of-reckoning,,,,,,,Size,XL,HR-RECKONING-BLK-XL,,continue,manual,38.00,TRUE,TRUE,,,
mask-of-stillness,MASK OF STILLNESS,<p>The fourth mask is the most dangerous — patience sharpened into a blade.</p>,Hollow Ronin,Shirts,"drop-001,shirt",TRUE,Size,S,HR-STILLNESS-BLK-S,,continue,manual,38.00,TRUE,TRUE,https://hollowronin.com/mockups/tee-cyber-oni-portrait-circle-back-black-model3.png,MASK OF STILLNESS — back design,active
mask-of-stillness,,,,,,,Size,M,HR-STILLNESS-BLK-M,,continue,manual,38.00,TRUE,TRUE,,,
mask-of-stillness,,,,,,,Size,L,HR-STILLNESS-BLK-L,,continue,manual,38.00,TRUE,TRUE,,,
mask-of-stillness,,,,,,,Size,XL,HR-STILLNESS-BLK-XL,,continue,manual,38.00,TRUE,TRUE,,,
the-inscribed,THE INSCRIBED,<p>Flesh gone, vow intact — kanji burned across the ribcage of what remained.</p>,Hollow Ronin,Shirts,"drop-001,shirt",TRUE,Size,S,HR-INSCRIBED-BLK-S,,continue,manual,38.00,TRUE,TRUE,https://hollowronin.com/mockups/tee-skeleton-samurai-kanji-back-black.png,THE INSCRIBED — back design,active
the-inscribed,,,,,,,Size,M,HR-INSCRIBED-BLK-M,,continue,manual,38.00,TRUE,TRUE,,,
the-inscribed,,,,,,,Size,L,HR-INSCRIBED-BLK-L,,continue,manual,38.00,TRUE,TRUE,,,
the-inscribed,,,,,,,Size,XL,HR-INSCRIBED-BLK-XL,,continue,manual,38.00,TRUE,TRUE,,,
